,steps,numpy,base
125,253,2.662925428532097e-05,3.327268856862377e-05
126,255,2.021772857135927e-05,2.754643285827894e-05
127,257,3.0122195715063883e-05,3.591932571518035e-05
128,259,2.3829938571517623e-05,3.320246142590934e-05
129,261,2.1988621431644008e-05,2.8211731423652966e-05
130,263,2.8146512857866975e-05,3.694470571125359e-05
131,265,2.907174571321645e-05,3.516230857193087e-05
132,267,2.3172800003002128e-05,3.034443571128317e-05
133,269,2.8934154285837264e-05,4.079920428401758e-05
134,271,3.0461194289403334e-05,3.4665945711042566e-05
135,273,2.7414962855151054e-05,4.148059571629606e-05
136,275,3.408890999708092e-05,4.4484895718466896e-05
137,277,2.7279329996028015e-05,3.31390571409429e-05
138,279,2.1977037140459287e-05,3.5020611425612255e-05
139,281,2.947109714243977e-05,3.932180571480005e-05
140,283,2.756069428089956e-05,3.5188942854022446e-05
141,285,2.1853685715801214e-05,3.054897571668594e-05
142,287,3.2275604283183515e-05,3.639813286229452e-05
143,289,2.4925551429727678e-05,3.84035399968395e-05
144,291,2.3525641429711997e-05,3.144176571368007e-05
145,293,3.244339428420062e-05,4.600846143148374e-05
146,295,3.0283155714901762e-05,3.3739807141890715e-05
147,297,2.1859100000126224e-05,3.127806571293539e-05
148,299,5.231032713969138e-05,4.02102671380687e-05
149,301,2.836071857278252e-05,4.7261205711817765e-05
150,303,2.3528369999569675e-05,3.2303807139604555e-05
151,305,5.975303999938271e-05,3.8245347145025986e-05
152,307,2.753145857371107e-05,4.11287699976778e-05
153,309,2.7931438572912678e-05,3.3751682855966334e-05
154,311,3.165794571551877e-05,4.1945664280709547e-05
155,313,2.7991471431180667e-05,3.767349286135868e-05
156,315,3.1143311428292825e-05,3.9235440004371676e-05
157,317,3.251566714295352e-05,4.151997285849315e-05
158,319,2.9953078574180836e-05,4.567254000253992e-05
159,321,2.6916772860983783e-05,3.487869999454623e-05
160,323,3.5883590005271664e-05,4.783233999530369e-05
161,325,2.9510351427493985e-05,3.742856142707751e-05
162,327,3.2984958569224025e-05,4.743092285415124e-05
163,329,3.4282928564997356e-05,3.8950727141907136e-05
164,331,3.803717428257057e-05,4.711666285532244e-05
165,333,3.0222517138359502e-05,3.673425714493662e-05
166,335,3.5555205714834816e-05,4.6527389996689243e-05
167,337,3.064150142693377e-05,4.053208857450435e-05
168,339,3.452531000220915e-05,4.2220818572137176e-05
169,341,3.0491867143739782e-05,4.0743879996755694e-05
170,343,3.6256072856174015e-05,4.9042487142807134e-05
171,345,3.223257713865938e-05,5.5473135713067936e-05
172,347,3.958897000172458e-05,6.704291571492961e-05
173,349,4.185270856916239e-05,5.3484904287220806e-05
174,351,7.548476285332331e-05,4.4848644288971887e-05
175,353,3.218923999936253e-05,3.966952571447889e-05
176,355,3.605583428777338e-05,5.326365999800536e-05
177,357,3.442020285417259e-05,4.1045312856502794e-05
178,359,3.592965857283811e-05,5.265661142662534e-05
179,361,4.016173857443001e-05,4.078084286187992e-05
180,363,3.755957857200493e-05,5.0937107140011256e-05
181,365,3.3910438570663766e-05,4.226043714360068e-05
182,367,3.422642285970921e-05,5.488108571496144e-05
183,369,3.2556000000373126e-05,3.9437059999077716e-05
184,371,3.7263261432859246e-05,4.854471571629151e-05
185,373,2.8091952857981336e-05,3.902834571428165e-05
186,375,3.802691714944168e-05,5.389163285664316e-05
187,377,4.12153514246581e-05,4.166810428744481e-05
188,379,3.9975638568908576e-05,5.205889857669327e-05
189,381,3.4526311428635384e-05,4.645352142948208e-05
190,383,4.0797047141885355e-05,5.270142428344116e-05
191,385,3.4853202856278846e-05,4.721442571151004e-05
192,387,4.087433856901563e-05,5.316523142028018e-05
193,389,3.53743828574287e-05,4.650218714232324e-05
194,391,3.990607285751529e-05,6.050118142541448e-05
195,393,4.5739251423323625e-05,6.381903571309522e-05
196,395,4.3541144285492397e-05,5.080950571417426e-05
197,397,3.597952713919637e-05,4.419712285847969e-05
198,399,6.940373713795063e-05,5.16676742855842e-05
199,401,3.3773310005926755e-05,4.309251428691953e-05
200,403,4.718768571755e-05,5.1581464285845866e-05
201,405,3.587690428893049e-05,4.400637285600949e-05
202,407,4.1113362855997234e-05,5.5134654282613024e-05
203,409,3.5325501430634175e-05,4.597293571870458e-05
204,411,4.397799428781062e-05,5.1393722855469344e-05
205,413,3.8547754286680305e-05,4.487165428664801e-05
206,415,4.36443971427382e-05,5.529894285375901e-05
207,417,3.602552428544316e-05,4.7224674282395944e-05
208,419,4.270659285664026e-05,6.012861428774029e-05
209,421,3.6169535711191464e-05,4.5511744286029305e-05
210,423,4.2083767137747996e-05,5.771427856546195e-05
211,425,3.7606905713931024e-05,4.755730428639384e-05
212,427,4.568106285920034e-05,5.773090857733872e-05
213,429,3.7475804290027424e-05,4.711188714022033e-05
214,431,4.2724028571683444e-05,5.933941142887176e-05
215,433,3.849337999261999e-05,4.963647285746577e-05
