,steps,numpy,base
0,3,3.5515457160987094e-06,4.39622861969318e-07
1,2003,0.00017573508714381855,0.0002131775371448644
2,4003,0.0002907901971463746,0.00041793118285568195
3,6003,0.00041689984856930096,0.0006406310171405494
4,8003,0.0005728216971458875,0.0008493416857111568
5,10003,0.000680011257136357,0.0010570304728597486
6,12003,0.0008183790599988631,0.00127976502571203
7,14003,0.0009520418371409635,0.0015025250085766728
8,16003,0.0010761974071361432,0.0017641032257129804
9,18003,0.0012089353714223503,0.001913155114283914
10,20003,0.0014364262914334954,0.0022389825499989713
11,22003,0.0018790857142864429,0.002853913050000431
12,24003,0.0019587560600042965,0.002970918831428467
13,26003,0.002288316354284429,0.0037112908057107623
14,28003,0.0024886635885715282,0.003920224687135487
15,30003,0.0028561042785778617,0.004244359659998216
16,32003,0.0029591186328538502,0.004564631227141425
17,34003,0.0030454407671459192,0.0045093951442868275
18,36003,0.002563590605711527,0.003989936302857261
19,38003,0.0026659429657125396,0.004251603714284491
20,40003,0.0028249004714312573,0.004572928691429426
21,42003,0.0029254897385674536,0.004755185388577437
22,44003,0.0029826393499986026,0.004794747728571695
23,46003,0.0031045842457154194,0.004983963351429079
24,48003,0.0032380249971408507,0.0052144081957106085
25,50003,0.0033579426599992857,0.005429278937146072
26,52003,0.0034990676442820195,0.00564932175571812
27,54003,0.0036355910071402572,0.005841618054281363
28,56003,0.0037721191399941742,0.006070016831428283
29,58003,0.003887552567141808,0.00629756177285734
30,60003,0.0040135640371460925,0.006505134178574476
31,62003,0.004286046627140812,0.006742153402854975
32,64003,0.004362580618573182,0.007063211114283539
33,66003,0.004813884174283365,0.007730432728569992
34,68003,0.004638737067143665,0.007404890134286169
35,70003,0.004794518588576985,0.007449900878572017
36,72003,0.005447386337143273,0.00976543531570964
37,74003,0.005500066044286151,0.008819365500005786
38,76003,0.006250673328569454,0.008762495924285239
39,78003,0.005523554710000878,0.008582703445715326
40,80003,0.005370459794285125,0.00864541901143249
41,82003,0.005703302627139887,0.008900873395710473
42,84003,0.0064568605328531705,0.008906577104285784
43,86003,0.006386875468573895,0.009771910641429713
44,88003,0.006151219854286215,0.00937355069714353
45,90003,0.00605559947142735,0.009616161764284438
46,92003,0.006258880832855149,0.00986131345143544
47,94003,0.006357151595717109,0.010151427175712473
48,96003,0.006716024834287445,0.010992933428567216
49,98003,0.006943160255715545,0.011805948672858254
